PIN,complete,date,calendar_time,timestamp,location,stage,commit,version,block,item,food_item,correct,belief_strength
'00001',y,07-08-2020,09:39:19,9450,United States,VVR1,5b501e4,K,1,1,TT.png,y,8.82
'00001',y,07-08-2020,09:39:21,11147,United States,VVR1,5b501e4,K,1,2,MM.png,y,4.50
'00001',y,07-08-2020,09:39:31,20584,United States,VVR1,5b501e4,K,2,1,MM.png,y,1.08
'00001',y,07-08-2020,09:39:32,22212,United States,VVR1,5b501e4,K,2,2,TT.png,y,1.48
'00001',y,07-08-2020,09:41:00,9181,United States,VVR2,5b501e4,K,1,1,MM.png,y,5.52
'00001',y,07-08-2020,09:41:01,10865,United States,VVR2,5b501e4,K,1,2,TT.png,y,5.94
'00001',y,07-08-2020,09:41:11,20343,United States,VVR2,5b501e4,K,2,1,TT.png,y,7.16
'00001',y,07-08-2020,09:41:12,21896,United States,VVR2,5b501e4,K,2,2,MM.png,y,8.96
'00001',y,07-08-2020,09:42:43,11839,United States,VVR3,5b501e4,K,1,1,MM.png,y,4.06
'00001',y,07-08-2020,09:42:45,13941,United States,VVR3,5b501e4,K,1,2,TT.png,y,5.48
'00001',y,07-08-2020,09:42:54,23427,United States,VVR3,5b501e4,K,2,1,TT.png,y,4.62
'00001',y,07-08-2020,09:42:56,25244,United States,VVR3,5b501e4,K,2,2,MM.png,y,5.04
'00002',y,07-08-2020,09:39:18,8328,India,VVR1,5b501e4,A,1,1,BBQ.png,y,3.92
'00002',y,07-08-2020,09:39:20,10121,India,VVR1,5b501e4,A,1,2,MM.png,y,8.40
'00002',y,07-08-2020,09:39:30,19706,India,VVR1,5b501e4,A,2,1,MM.png,y,5.90
'00002',y,07-08-2020,09:39:32,21628,India,VVR1,5b501e4,A,2,2,BBQ.png,y,6.62
'00002',y,07-08-2020,09:40:58,8226,India,VVR2,5b501e4,A,1,1,BBQ.png,y,5.56
'00002',y,07-08-2020,09:41:00,9810,India,VVR2,5b501e4,A,1,2,MM.png,y,5.70
'00002',y,07-08-2020,09:41:11,21305,India,VVR2,5b501e4,A,2,1,MM.png,y,8.68
'00002',y,07-08-2020,09:41:13,22855,India,VVR2,5b501e4,A,2,2,BBQ.png,y,6.06
'00002',y,07-08-2020,09:42:39,8606,India,VVR3,5b501e4,A,1,1,BBQ.png,y,4.78
'00002',y,07-08-2020,09:42:41,10205,India,VVR3,5b501e4,A,1,2,MM.png,y,7.24
'00002',y,07-08-2020,09:42:52,21231,India,VVR3,5b501e4,A,2,1,BBQ.png,y,3.94
'00002',y,07-08-2020,09:42:54,22898,India,VVR3,5b501e4,A,2,2,MM.png,y,1.08
'00003',y,07-08-2020,09:39:25,10444,United States,VVR1,5b501e4,L,1,1,MM.png,y,3.40
'00003',y,07-08-2020,09:39:26,12014,United States,VVR1,5b501e4,L,1,2,TT.png,y,8.70
'00003',y,07-08-2020,09:39:36,21483,United States,VVR1,5b501e4,L,2,1,TT.png,y,6.38
'00003',y,07-08-2020,09:39:37,23065,United States,VVR1,5b501e4,L,2,2,MM.png,y,1.14
'00003',y,07-08-2020,09:41:05,9298,United States,VVR2,5b501e4,L,1,1,TT.png,y,3.76
'00003',y,07-08-2020,09:41:06,10887,United States,VVR2,5b501e4,L,1,2,MM.png,y,6.16
'00003',y,07-08-2020,09:41:17,21383,United States,VVR2,5b501e4,L,2,1,TT.png,y,8.22
