PIN,complete,date,calendar_time,timestamp,location,timezone,stage,commit,version,block,interval,event_type,event_raw,event_converted
'00001',y,30-07-2020,12:07:17,0,local,local,key_testing_open,dcfd592,B,NA,NA,text appears,open_instruct_text_key_testing,key_testing_open text appears
'00001',y,30-07-2020,12:07:19,1547,local,local,key_testing_open,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:19,1548,local,local,key_testing_open,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:19,0,local,local,key_testing,dcfd592,B,NA,NA,image appears,key_testing_close,blank vending machine appears
'00001',y,30-07-2020,12:07:19,11,local,local,key_testing,dcfd592,B,NA,NA,left tilt,"-5%, -15deg","vending machine was tilted left -5%, -15deg"
'00001',y,30-07-2020,12:07:19,11,local,local,key_testing,dcfd592,B,NA,NA,key press,37,leftarrow key pressed
'00001',y,30-07-2020,12:07:19,13,local,local,key_testing,dcfd592,B,NA,NA,key release,37,leftarrow key released
'00001',y,30-07-2020,12:07:19,221,local,local,key_testing,dcfd592,B,NA,NA,right tilt,"5%, 15deg","vending machine was tilted right 5%, 15deg"
'00001',y,30-07-2020,12:07:19,221,local,local,key_testing,dcfd592,B,NA,NA,key press,39,rightarrow key pressed
'00001',y,30-07-2020,12:07:19,222,local,local,key_testing,dcfd592,B,NA,NA,key release,39,rightarrow key released
'00001',y,30-07-2020,12:07:20,0,local,local,key_testing_close,dcfd592,B,NA,NA,text appears,close_instruct_text_key_testing,key_testing_close text appears
'00001',y,30-07-2020,12:07:21,1509,local,local,key_testing_close,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:21,1509,local,local,key_testing_close,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:21,0,local,local,demographics,dcfd592,B,NA,NA,questions appears,"Demographics, options",Demographics questions appears
'00001',y,30-07-2020,12:07:21,52,local,local,demographics,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:21,52,local,local,demographics,dcfd592,B,NA,NA,answer displayed,Q1A2,Q1A2 answer displayed
'00001',y,30-07-2020,12:07:21,52,local,local,demographics,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:21,89,local,local,demographics,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:21,89,local,local,demographics,dcfd592,B,NA,NA,answer displayed,Q2A1,Q2A1 answer displayed
'00001',y,30-07-2020,12:07:21,91,local,local,demographics,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:21,96,local,local,demographics,dcfd592,B,NA,NA,key press,56,8 key pressed
'00001',y,30-07-2020,12:07:21,101,local,local,demographics,dcfd592,B,NA,NA,key release,56,8 key released
'00001',y,30-07-2020,12:07:21,102,local,local,demographics,dcfd592,B,NA,NA,key press,48,0 key pressed
'00001',y,30-07-2020,12:07:21,106,local,local,demographics,dcfd592,B,NA,NA,key release,48,0 key released
'00001',y,30-07-2020,12:07:21,120,local,local,demographics,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:21,121,local,local,demographics,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:21,125,local,local,demographics,dcfd592,B,NA,NA,key press,49,1 key pressed
'00001',y,30-07-2020,12:07:21,127,local,local,demographics,dcfd592,B,NA,NA,key release,49,1 key released
'00001',y,30-07-2020,12:07:21,128,local,local,demographics,dcfd592,B,NA,NA,key press,57,9 key pressed
'00001',y,30-07-2020,12:07:21,131,local,local,demographics,dcfd592,B,NA,NA,key release,57,9 key released
'00001',y,30-07-2020,12:07:21,131,local,local,demographics,dcfd592,B,NA,NA,key press,55,7 key pressed
'00001',y,30-07-2020,12:07:21,133,local,local,demographics,dcfd592,B,NA,NA,key release,55,7 key released
'00001',y,30-07-2020,12:07:21,152,local,local,demographics,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:21,152,local,local,demographics,dcfd592,B,NA,NA,answer displayed,Q4A1,Q4A1 answer displayed
'00001',y,30-07-2020,12:07:21,153,local,local,demographics,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:21,173,local,local,demographics,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:21,173,local,local,demographics,dcfd592,B,NA,NA,answer displayed,Q4A1,Q4A1 answer displayed
'00001',y,30-07-2020,12:07:21,175,local,local,demographics,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:21,180,local,local,demographics,dcfd592,B,NA,NA,key press,56,8 key pressed
'00001',y,30-07-2020,12:07:21,183,local,local,demographics,dcfd592,B,NA,NA,key release,56,8 key released
'00001',y,30-07-2020,12:07:21,185,local,local,demographics,dcfd592,B,NA,NA,key press,49,1 key pressed
'00001',y,30-07-2020,12:07:21,187,local,local,demographics,dcfd592,B,NA,NA,key release,49,1 key released
'00001',y,30-07-2020,12:07:21,203,local,local,demographics,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:21,203,local,local,demographics,dcfd592,B,NA,NA,answer displayed,Q5A1,Q5A1 answer displayed
'00001',y,30-07-2020,12:07:21,204,local,local,demographics,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:21,224,local,local,demographics,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:21,224,local,local,demographics,dcfd592,B,NA,NA,answer displayed,Q6A1,Q6A1 answer displayed
'00001',y,30-07-2020,12:07:21,224,local,local,demographics,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:21,237,local,local,demographics,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:21,237,local,local,demographics,dcfd592,B,NA,NA,answer displayed,Q7A1,Q7A1 answer displayed
'00001',y,30-07-2020,12:07:21,238,local,local,demographics,dcfd592,B,NA,NA,key release,1,left_mouse key released
'00001',y,30-07-2020,12:07:21,254,local,local,demographics,dcfd592,B,NA,NA,key press,1,left_mouse key pressed
'00001',y,30-07-2020,12:07:21,254,local,local,demographics,dcfd592,B,NA,NA,answer displayed,Q8A1,Q8A1 answer displayed
'00001',y,30-07-2020,12:07:21,255,local,local,demographics,dcfd592,B,NA,NA,key release,1,left_mouse key released
