PIN,complete,date,calendar_time,timestamp,location,commit,version,item,pre_rating,post_rating
'00001',y,07-08-2020,09:46:01,6450,United States,5b501e4,K,TT.png,4.78,""
'00001',y,07-08-2020,09:46:01,9965,United States,5b501e4,K,MM.png,8.06,""
'00001',y,07-08-2020,09:46:01,13849,United States,5b501e4,K,BBQ.png,3.02,""
'00001',y,07-08-2020,09:46:01,2466,United States,5b501e4,K,TT.png,"",4.90
'00001',y,07-08-2020,09:46:01,5648,United States,5b501e4,K,MM.png,"",8.90
'00001',y,07-08-2020,09:46:01,8698,United States,5b501e4,K,BBQ.png,"",5.24
'00002',y,07-08-2020,09:45:59,6215,India,5b501e4,A,TT.png,7.32,""
'00002',y,07-08-2020,09:45:59,10230,India,5b501e4,A,MM.png,2.78,""
'00002',y,07-08-2020,09:45:59,13281,India,5b501e4,A,BBQ.png,2.28,""
'00002',y,07-08-2020,09:45:59,2185,India,5b501e4,A,TT.png,"",1.26
'00002',y,07-08-2020,09:45:59,5218,India,5b501e4,A,MM.png,"",3.10
'00002',y,07-08-2020,09:45:59,8601,India,5b501e4,A,BBQ.png,"",3.42
'00003',y,07-08-2020,09:46:09,1572,United States,5b501e4,L,TT.png,6.14,""
'00003',y,07-08-2020,09:46:09,6905,United States,5b501e4,L,MM.png,5.26,""
'00003',y,07-08-2020,09:46:09,10622,United States,5b501e4,L,BBQ.png,6.28,""
'00003',y,07-08-2020,09:46:09,2499,United States,5b501e4,L,TT.png,"",6.96
'00003',y,07-08-2020,09:46:09,6213,United States,5b501e4,L,MM.png,"",5.00
'00003',y,07-08-2020,09:46:09,8517,United States,5b501e4,L,BBQ.png,"",6.90
'00004',y,07-08-2020,09:45:54,12489,Philippines,5b501e4,D,TT.png,1.28,""
'00004',y,07-08-2020,09:45:54,20817,Philippines,5b501e4,D,MM.png,2.34,""
'00004',y,07-08-2020,09:45:54,28078,Philippines,5b501e4,D,BBQ.png,3.52,""
'00004',y,07-08-2020,09:45:54,1787,Philippines,5b501e4,D,TT.png,"",5.54
'00004',y,07-08-2020,09:45:54,4542,Philippines,5b501e4,D,MM.png,"",3.68
'00004',y,07-08-2020,09:45:54,7624,Philippines,5b501e4,D,BBQ.png,"",2.80
'00005',y,07-08-2020,09:45:56,5704,United States,5b501e4,F,TT.png,5.22,""
'00005',y,07-08-2020,09:45:56,11705,United States,5b501e4,F,MM.png,7.72,""
'00005',y,07-08-2020,09:45:56,15057,United States,5b501e4,F,BBQ.png,1.60,""
'00005',y,07-08-2020,09:45:56,2180,United States,5b501e4,F,TT.png,"",1.26
'00005',y,07-08-2020,09:45:56,5171,United States,5b501e4,F,MM.png,"",1.66
'00005',y,07-08-2020,09:45:56,8182,United States,5b501e4,F,BBQ.png,"",3.96
'00006',y,07-08-2020,09:45:55,8862,Philippines,5b501e4,L,TT.png,2.10,""
'00006',y,07-08-2020,09:45:55,14847,Philippines,5b501e4,L,MM.png,5.98,""
'00006',y,07-08-2020,09:45:55,19151,Philippines,5b501e4,L,BBQ.png,4.58,""
'00006',y,07-08-2020,09:45:55,1683,Philippines,5b501e4,L,TT.png,"",5.90
'00006',y,07-08-2020,09:45:55,4666,Philippines,5b501e4,L,MM.png,"",5.20
'00006',y,07-08-2020,09:45:55,7232,Philippines,5b501e4,L,BBQ.png,"",5.42
'00007',y,07-08-2020,09:45:07,26730,United States,5b501e4,A,TT.png,7.20,""
'00007',y,07-08-2020,09:45:07,39177,United States,5b501e4,A,MM.png,3.72,""
'00007',y,07-08-2020,09:45:07,53778,United States,5b501e4,A,BBQ.png,1.86,""
'00007',y,07-08-2020,09:45:07,1961,United States,5b501e4,A,TT.png,"",6.56
'00007',y,07-08-2020,09:45:07,5431,United States,5b501e4,A,MM.png,"",8.34
'00007',y,07-08-2020,09:45:07,8364,United States,5b501e4,A,BBQ.png,"",3.12
'00008',y,07-08-2020,09:45:25,13610,United Kingdom,5b501e4,A,TT.png,5.26,""
'00008',y,07-08-2020,09:45:25,41908,United Kingdom,5b501e4,A,MM.png,8.32,""
'00008',y,07-08-2020,09:45:25,66724,United Kingdom,5b501e4,A,BBQ.png,2.10,""
'00008',y,07-08-2020,09:45:25,1713,United Kingdom,5b501e4,A,TT.png,"",4.40
'00008',y,07-08-2020,09:45:25,5259,United Kingdom,5b501e4,A,MM.png,"",4.76
'00008',y,07-08-2020,09:45:25,8383,United Kingdom,5b501e4,A,BBQ.png,"",4.94
'00009',y,07-08-2020,09:46:06,1891,India,5b501e4,D,TT.png,3.22,""
'00009',y,07-08-2020,09:46:06,6557,India,5b501e4,D,MM.png,8.98,""
'00009',y,07-08-2020,09:46:06,10723,India,5b501e4,D,BBQ.png,2.64,""
'00009',y,07-08-2020,09:46:06,2199,India,5b501e4,D,TT.png,"",6.92
'00009',y,07-08-2020,09:46:06,4630,India,5b501e4,D,MM.png,"",8.90
'00009',y,07-08-2020,09:46:06,7748,India,5b501e4,D,BBQ.png,"",2.04
'00010',y,07-08-2020,09:46:05,2560,local,5b501e4,D,TT.png,1.58,""
'00010',y,07-08-2020,09:46:05,6192,local,5b501e4,D,MM.png,2.76,""
'00010',y,07-08-2020,09:46:05,11276,local,5b501e4,D,BBQ.png,2.68,""
'00010',y,07-08-2020,09:46:05,1944,local,5b501e4,D,TT.png,"",3.00
'00010',y,07-08-2020,09:46:05,4543,local,5b501e4,D,MM.png,"",3.16
'00010',y,07-08-2020,09:46:05,7757,local,5b501e4,D,BBQ.png,"",5.06
'00011',y,07-08-2020,09:44:50,7514,United States,5b501e4,F,TT.png,7.60,""
'00011',y,07-08-2020,09:44:50,23150,United States,5b501e4,F,MM.png,8.98,""
'00011',y,07-08-2020,09:44:50,40794,United States,5b501e4,F,BBQ.png,1.52,""
'00011',y,07-08-2020,09:44:50,2123,United States,5b501e4,F,TT.png,"",1.42
'00011',y,07-08-2020,09:44:50,5253,United States,5b501e4,F,MM.png,"",5.80
'00011',y,07-08-2020,09:44:50,8577,United States,5b501e4,F,BBQ.png,"",8.96
'00012',y,07-08-2020,09:45:05,16063,Philippines,5b501e4,E,TT.png,4.12,""
'00012',y,07-08-2020,09:45:05,33729,Philippines,5b501e4,E,MM.png,6.54,""
'00012',y,07-08-2020,09:45:05,55053,Philippines,5b501e4,E,BBQ.png,2.44,""
'00012',y,07-08-2020,09:45:05,1908,Philippines,5b501e4,E,TT.png,"",9.00
'00012',y,07-08-2020,09:45:05,5361,Philippines,5b501e4,E,MM.png,"",5.50
'00012',y,07-08-2020,09:45:05,7895,Philippines,5b501e4,E,BBQ.png,"",6.82
'00013',y,07-08-2020,09:46:11,1958,India,5b501e4,C,TT.png,2.94,""
'00013',y,07-08-2020,09:46:11,7141,India,5b501e4,C,MM.png,3.02,""
'00013',y,07-08-2020,09:46:11,12057,India,5b501e4,C,BBQ.png,2.12,""
'00013',y,07-08-2020,09:46:11,1934,India,5b501e4,C,TT.png,"",8.72
'00013',y,07-08-2020,09:46:11,5101,India,5b501e4,C,MM.png,"",2.46
'00013',y,07-08-2020,09:46:11,8487,India,5b501e4,C,BBQ.png,"",4.58
'00014',y,07-08-2020,09:46:04,1969,India,5b501e4,J,TT.png,5.56,""
'00014',y,07-08-2020,09:46:04,5969,India,5b501e4,J,MM.png,6.62,""
'00014',y,07-08-2020,09:46:04,10085,India,5b501e4,J,BBQ.png,7.80,""
'00014',y,07-08-2020,09:46:04,1918,India,5b501e4,J,TT.png,"",6.70
'00014',y,07-08-2020,09:46:04,5035,India,5b501e4,J,MM.png,"",8.60
'00014',y,07-08-2020,09:46:04,8395,India,5b501e4,J,BBQ.png,"",2.70
'00015',y,07-08-2020,09:45:14,26870,United States,5b501e4,F,TT.png,8.88,""
'00015',y,07-08-2020,09:45:14,39164,United States,5b501e4,F,MM.png,8.00,""
'00015',y,07-08-2020,09:45:14,67330,United States,5b501e4,F,BBQ.png,8.84,""
'00015',y,07-08-2020,09:45:14,1870,United States,5b501e4,F,TT.png,"",2.46
'00015',y,07-08-2020,09:45:14,5042,United States,5b501e4,F,MM.png,"",1.06
'00015',y,07-08-2020,09:45:14,8450,United States,5b501e4,F,BBQ.png,"",3.50
'00016',y,07-08-2020,09:45:41,25593,United Kingdom,5b501e4,E,TT.png,2.22,""
'00016',y,07-08-2020,09:45:41,42650,United Kingdom,5b501e4,E,MM.png,6.30,""
'00016',y,07-08-2020,09:45:41,70707,United Kingdom,5b501e4,E,BBQ.png,7.04,""
'00016',y,07-08-2020,09:45:41,1709,United Kingdom,5b501e4,E,TT.png,"",8.50
'00016',y,07-08-2020,09:45:41,4525,United Kingdom,5b501e4,E,MM.png,"",8.82
'00016',y,07-08-2020,09:45:41,7100,United Kingdom,5b501e4,E,BBQ.png,"",7.34
'00017',y,07-08-2020,09:46:00,6293,India,5b501e4,A,TT.png,3.86,""
'00017',y,07-08-2020,09:46:00,11582,India,5b501e4,A,MM.png,3.12,""
'00017',y,07-08-2020,09:46:00,16230,India,5b501e4,A,BBQ.png,8.38,""
'00017',y,07-08-2020,09:46:00,1645,India,5b501e4,A,TT.png,"",6.12
'00017',y,07-08-2020,09:46:00,5011,India,5b501e4,A,MM.png,"",8.32
'00017',y,07-08-2020,09:46:00,8316,India,5b501e4,A,BBQ.png,"",8.08
'00018',y,07-08-2020,09:46:04,6306,local,5b501e4,D,TT.png,2.02,""
'00018',y,07-08-2020,09:46:04,10167,local,5b501e4,D,MM.png,5.18,""
'00018',y,07-08-2020,09:46:04,14182,local,5b501e4,D,BBQ.png,5.50,""
'00018',y,07-08-2020,09:46:04,1749,local,5b501e4,D,TT.png,"",1.60
'00018',y,07-08-2020,09:46:04,4749,local,5b501e4,D,MM.png,"",8.60
'00018',y,07-08-2020,09:46:04,6981,local,5b501e4,D,BBQ.png,"",3.60
'00019',y,07-08-2020,09:46:03,1824,India,5b501e4,K,TT.png,3.68,""
'00019',y,07-08-2020,09:46:03,5191,India,5b501e4,K,MM.png,6.14,""
'00019',y,07-08-2020,09:46:03,9291,India,5b501e4,K,BBQ.png,3.62,""
'00019',y,07-08-2020,09:46:03,2554,India,5b501e4,K,TT.png,"",8.40
'00019',y,07-08-2020,09:46:03,5413,India,5b501e4,K,MM.png,"",2.80
'00019',y,07-08-2020,09:46:03,8597,India,5b501e4,K,BBQ.png,"",5.70
'00020',y,07-08-2020,09:45:26,13602,United States,5b501e4,B,TT.png,3.24,""
'00020',y,07-08-2020,09:45:26,41670,United States,5b501e4,B,MM.png,8.42,""
'00020',y,07-08-2020,09:45:26,66718,United States,5b501e4,B,BBQ.png,8.68,""
'00020',y,07-08-2020,09:45:26,1965,United States,5b501e4,B,TT.png,"",6.66
'00020',y,07-08-2020,09:45:26,5151,United States,5b501e4,B,MM.png,"",1.88
'00020',y,07-08-2020,09:45:26,8248,United States,5b501e4,B,BBQ.png,"",5.72
'00021',y,07-08-2020,09:46:10,3507,local,5b501e4,E,TT.png,5.18,""
'00021',y,07-08-2020,09:46:10,8355,local,5b501e4,E,MM.png,8.34,""
'00021',y,07-08-2020,09:46:10,12205,local,5b501e4,E,BBQ.png,6.20,""
'00021',y,07-08-2020,09:46:10,2084,local,5b501e4,E,TT.png,"",6.30
'00021',y,07-08-2020,09:46:10,5406,local,5b501e4,E,MM.png,"",3.40
'00021',y,07-08-2020,09:46:10,8582,local,5b501e4,E,BBQ.png,"",4.98
'00022',y,07-08-2020,09:45:54,12499,India,5b501e4,L,TT.png,6.46,""
'00022',y,07-08-2020,09:45:54,20815,India,5b501e4,L,MM.png,4.66,""
'00022',y,07-08-2020,09:45:54,28681,India,5b501e4,L,BBQ.png,6.02,""
'00022',y,07-08-2020,09:45:54,2498,India,5b501e4,L,TT.png,"",7.14
'00022',y,07-08-2020,09:45:54,4928,India,5b501e4,L,MM.png,"",5.06
'00022',y,07-08-2020,09:45:54,7893,India,5b501e4,L,BBQ.png,"",5.66
'00023',y,07-08-2020,09:46:04,3494,India,5b501e4,C,TT.png,7.32,""
'00023',y,07-08-2020,09:46:04,7621,India,5b501e4,C,MM.png,5.90,""
'00023',y,07-08-2020,09:46:04,11739,India,5b501e4,C,BBQ.png,3.54,""
'00023',y,07-08-2020,09:46:04,2267,India,5b501e4,C,TT.png,"",5.10
'00023',y,07-08-2020,09:46:04,5816,India,5b501e4,C,MM.png,"",6.24
'00023',y,07-08-2020,09:46:04,9149,India,5b501e4,C,BBQ.png,"",5.60
