PIN,complete,date,calendar_time,location,commit,version,parameter_name,parameter_value
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,re_captcha,FALSE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,re_captcha_duration,15
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,full_screen_mode,TRUE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_latency,1500
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_latency,500
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,outcome_duration,1000
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,stim_duration,6000
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,ITI_duration,3000
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,interval_duration,500
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,interval_num,10
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,answer_latency_countdown,FALSE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,answer_latency,1500
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,answer_latency_text,Please wait for a moment till you can answer the question...
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,correct_text,""
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,incorrect_text,""
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,feedback_duration,1
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,popup_text_behav,Please provide your answer prior to submission.
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,popup_text_WBF,"Sorry, all questions need to be answered prior to submission."
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,shake_right_rotate,15
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,shake_right_translateX,5
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,shake_left_rotate,-15
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,shake_left_translateX,-5
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,shake_return_time,300
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,shake_transition,0.05
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,left_tilt,37
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,right_tilt,39
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_text_key_testing,<p>This is a key-testing stage.</p> <p>We need to check whether your keyboard is working properly.</p> <p>Press any key when you are ready.</p>
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_text_key_testing,<p>Thank you for your patience.</p> <p>Press any key when you are ready to start.</p>
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_WBF,TRUE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_WBF,TRUE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_text_WBF,<p>We'd like to briefly ask you about some symptoms before the online game. <br> Press any key when you are ready. </p>
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_text_WBF,<p>That's it for the symptom questions. Now we're ready to start the online game. <br> Press any key when you are ready. </p>
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_demographics,FALSE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_demographics,FALSE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_text_demographics,Demographics open
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_text_demographics,Demographics close
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_inventory,TRUE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_inventory,TRUE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_text_inventory,Symptom inventories open
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_text_inventory,Symptom inventories close
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_SDS,FALSE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_SDS,FALSE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_text_SDS,SDS open
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_text_SDS,SDS close
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_ICAR,FALSE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_ICAR,FALSE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_text_ICAR,ICAR open
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_text_ICAR,ICAR close
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,inventory_rand,TRUE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,symptom_inventory,"OCI-R, MOVES, DASS, ASRS-5, EAT-26, RAADS-14, PHQ-9, GAD-7, LSAS, ASRM, PC-PTSD-5, PRIME-R, AUDIT, PGSI, YIAT, SMOKING STATUS, ISI, PID-5-BF"
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,video_duration,30
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,video_sound,FALSE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_video,TRUE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_text_video,<p>Watch and see what happened to one of the snacks.</p><br><p> press any key to begin.</p>
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_video,TRUE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_text_video,"<p>The vending machine is still overflowing, and you can tip it again now.</p><br> <p>The coloured lights will sometimes appear.</p><br> <p>You won't always see the snack fall out. All the snacks you get will be recorded.</p><br><p>Get all the snacks that you want!</p><br><p>Press any key to begin. </p>"
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_FHQ_pre_rating,TRUE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_FHQ_pre_rating,TRUE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_text_FHQ_pre_rating,Now we would like to ask you some questions about your food preferences.<p> Press any key to continue. </p>
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_text_FHQ_pre_rating,Thank you. That is it for the food questions for now.<p> Press any key to continue. </p>
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_FHQ_post_rating,TRUE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_FHQ_post_rating,TRUE
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,open_instruct_text_FHQ_post_rating,Now we would again like to ask you some questions about your food preferences.<p> Press any key to continue. </p>
'00001',y,07-08-2020,09:30:05,United States,5b501e4,K,close_instruct_text_FHQ_post_rating,Thank you. That is it for the food questions.<p> Press any key to continue. </p>
