PIN,complete,date,calendar_time,timestamp,location,commit,version,item,response
'00001',y,30-07-2020,12:07:17,239,local,dcfd592,B,1,Slightly disagree
'00001',y,30-07-2020,12:07:17,319,local,dcfd592,B,2,Not sure
'00001',y,30-07-2020,12:07:18,472,local,dcfd592,B,3,Slightly disagree
'00001',y,30-07-2020,12:07:18,572,local,dcfd592,B,4,Not sure
'00001',y,30-07-2020,12:07:18,672,local,dcfd592,B,5,Definitely disagree
'00001',y,30-07-2020,12:07:18,804,local,dcfd592,B,6,Definitely agree
'00001',y,30-07-2020,12:07:18,955,local,dcfd592,B,7,Somewhat disagree
'00001',y,30-07-2020,12:07:18,1005,local,dcfd592,B,8,Not sure
'00001',y,30-07-2020,12:07:18,1088,local,dcfd592,B,9,Somewhat disagree
'00001',y,30-07-2020,12:07:18,1207,local,dcfd592,B,10,Definitely agree
'00001',y,30-07-2020,12:07:18,1338,local,dcfd592,B,11,Slightly disagree
'00001',y,30-07-2020,12:07:18,1405,local,dcfd592,B,12,Not sure
