PIN,complete,date,calendar_time,timestamp,location,commit,version,item,response
'00001',y,30-07-2020,12:07:17,215,local,dcfd592,B,1,Often
'00001',y,30-07-2020,12:07:17,234,local,dcfd592,B,2,Very often
'00001',y,30-07-2020,12:07:17,281,local,dcfd592,B,3,Often
'00001',y,30-07-2020,12:07:17,381,local,dcfd592,B,4,Often
'00001',y,30-07-2020,12:07:18,467,local,dcfd592,B,5,Sometimes
'00001',y,30-07-2020,12:07:18,550,local,dcfd592,B,6,Often
'00001',y,30-07-2020,12:07:18,580,local,dcfd592,B,7,Often
'00001',y,30-07-2020,12:07:18,599,local,dcfd592,B,8,Never
'00001',y,30-07-2020,12:07:18,650,local,dcfd592,B,9,Sometimes
'00001',y,30-07-2020,12:07:18,749,local,dcfd592,B,10,Never
'00001',y,30-07-2020,12:07:18,851,local,dcfd592,B,11,Never
'00001',y,30-07-2020,12:07:18,881,local,dcfd592,B,12,Sometimes
